Repository Name,Link to Repository,Last update,"Steward Assigned (if yes, list name; if no, write no)","ReadMe Quality (Excellent, Sufficient, Needs Work)",Comments in Code? (yes / no),"Code Cleanliness (Excellent, Sufficient, Needs Work)","Branching History / Merging (Excellent, Sufficient, Needs Work)",NMIND Documentation Level Assignment (Level 1 through Level 5),"NMIND Certification (Bronze, Silver, Gold)"
ABCD Upload Review,https://gitlab.com/Fair_lab/abcd-upload-review,2 years ago,no,Excellent,no,Excellent,Needs Work,Level 5,Bronze
abcd-validation,https://gitlab.com/Fair_lab/abcd-validation,2 years ago,no,Needs Work,yes,Excellent,Needs Work,Level 1,Bronze
abcd_automation,https://gitlab.com/Fair_lab/abcd_automation,1 year ago,no,,,,,,
HCPD to BIDS,https://gitlab.com/Fair_lab/hcpd-to-bids,Updated 2 months ago,Audrey Houghton,Needs Work,yes,,,,
ABCD_BIDS_Setup ,https://gitlab.com/Fair_lab/abcd_bids_setup,1 year ago,Fez/Earl/Anders,,,,,,
ABCD_FD_analysis ,https://gitlab.com/Fair_lab/abcd_fd_analysis,1 year ago,no,,,,,,
ABCD_Image_Downloader ,https://gitlab.com/Fair_lab/abcd_image_downloader,1 year ago,no,,,,,,
abcd_json_correction ,https://gitlab.com/Fair_lab/abcd_json_correction,2 years ago,no,,,,,,
ABCD_Status ,https://gitlab.com/Fair_lab/abcd_status,1 year ago,no,,,,,,
abcd_submitters ,https://gitlab.com/Fair_lab/abcd_submitters,1 year ago,no,,,,,,
abcd_utilities ,https://gitlab.com/Fair_lab/abcd_utilities,1 year ago,no,,,,,,
analysis-nda17,https://gitlab.com/Fair_lab/analysis-nda17,1 year ago,no,,,,,,
AnalyticsCentral ,https://gitlab.com/Fair_lab/AnalyticsCentral,1 year ago,no,,,,,,
api_pushing_from_js ,https://gitlab.com/Fair_lab/api_pushing_from_js,1 year ago,no,,,,,,
ArgparserToJson ,https://gitlab.com/Fair_lab/argparsertojson,2 years ago,no,,,,,,
Atlas_Image_Tools ,https://gitlab.com/Fair_lab/Atlas_Image_Tools,1 year ago,no,,,,,,
